KundenNr,Nachname,Bonitaet,Land,Geschlecht,Alter,Dauer,Konto,NrProdukte,HatCrKarte,Aktiv,Gesch_Einkommen,Austritt
139680875,Chukwufumnanya,656,Deutschland,f,48,9,0.0,2,1,1,85240.61,1
139879041,Milani,540,England,m,28,8,0.0,2,0,0,197588.32,0
139808644,Kung,640,England,f,46,3,0.0,1,1,1,156260.08,0
139833447,Chukwualuka,543,Deutschland,f,31,4,138317.94,1,0,0,61843.73,0
139839254,Humphries,661,Frankreich,f,47,0,109493.62,1,0,0,188324.01,1
139860390,Fabro,657,Deutschland,f,41,5,95858.37,1,1,1,68255.88,0
139825002,DeRose,473,Frankreich,f,32,5,146602.25,2,1,1,72946.95,0
139755359,Steele,619,England,m,46,8,62400.48,1,1,1,132498.39,1
139860059,Moran,599,Deutschland,m,27,5,0.0,2,1,0,30546.4,0
139757339,Nwokeocha,646,Frankreich,m,39,6,121681.91,2,0,1,61793.47,0
139776163,Rivers,714,England,m,33,8,122017.19,1,0,0,162515.17,0
139767591,Ikedinachukwu,376,Frankreich,f,29,4,115046.74,4,1,0,119346.88,1
139912905,Lori,716,Deutschland,m,31,8,109578.04,2,1,1,51503.51,0
139784413,Esposito,714,England,m,20,3,0.0,2,0,1,150465.93,0
139873226,Kirillova,577,Deutschland,m,41,6,0.0,1,1,1,167621.18,0
139808692,Moretti,546,Frankreich,f,25,3,132837.7,1,1,0,131647.31,0
139799653,Teng,670,Deutschland,f,39,8,101928.51,1,0,0,89205.54,0
139886073,Yang,601,Frankreich,f,47,1,142802.02,1,1,1,57553.02,0
139700144,Obidimkpa,592,Deutschland,f,38,4,0.0,2,1,0,35338.96,0
139684399,Ulyanova,683,Deutschland,m,36,5,115350.63,1,1,1,122305.91,0
139898993,Bazhenov,719,Deutschland,m,69,3,0.0,2,1,1,58320.06,0
139754169,Olisanugo,611,Deutschland,m,53,3,83568.26,1,0,0,1235.49,0
139886300,Kosisochukwu,460,Deutschland,f,27,7,0.0,2,1,0,156150.08,1
139752923,Steele,571,Deutschland,m,32,5,131354.25,1,1,0,125256.53,0
139731117,Lei,649,Deutschland,f,35,4,108306.44,1,1,1,192486.24,0
139754313,Leonard,677,Deutschland,m,58,9,0.0,1,0,1,168650.4,0
139793114,Fu,850,Frankreich,m,28,2,101100.22,2,1,1,35337.31,0
139806084,Catchpole,621,England,f,59,2,0.0,2,1,1,171364.18,0
139714771,Clogstoun,483,Deutschland,m,27,1,77805.66,1,1,1,2101.89,0
139891935,Fitzpatrick,648,Deutschland,m,42,4,0.0,2,1,0,19283.14,0
139710447,Scott,655,England,m,37,1,0.0,1,1,1,106040.97,0
139885934,Alexander,480,Deutschland,f,28,6,0.0,2,0,0,48131.92,0
139687639,Okonkwo,743,England,f,48,5,118207.69,2,0,0,186489.14,1
139844086,Ndubueze,386,England,f,53,1,131955.07,1,1,1,62514.65,1
139905499,Duncan,668,Deutschland,f,46,2,0.0,3,1,0,89048.46,1
139835270,Sherman,683,Deutschland,m,30,4,114779.35,1,0,0,183171.47,0
139905457,Hingston,838,Deutschland,f,34,8,0.0,2,1,0,27472.07,0
139904092,Fraser,547,England,f,31,9,0.0,2,0,0,99294.22,0
139722096,Romano,733,England,f,38,5,0.0,2,1,1,1271.51,0
139691437,Naquin,616,Deutschland,m,23,8,73112.95,1,1,1,62733.05,0
139856232,Ignatyev,786,England,f,32,6,114512.59,1,1,0,15796.66,0
139680191,McCarthy,671,Frankreich,m,45,6,99564.22,1,1,1,108872.45,1
139812256,P'an,522,Frankreich,f,25,5,94049.92,2,1,0,103269.0,0
139849353,Barry,703,Frankreich,m,35,5,140691.08,2,1,0,167810.26,0
139871317,Jenkins,532,Deutschland,m,44,3,148595.55,1,1,0,74838.64,1
